time,center_ci,center_cs,center_cv,center_xi,center_xv
3.06e-06,3.051932800696e-08,1,3.0528678857234e-08,0.08352488294606,0.083550474226261
3.07e-06,3.0618566737896e-08,1,3.0627978725621e-08,0.083796478158879,0.083822236759226
3.08e-06,3.0717800716621e-08,1,3.0727274040268e-08,0.084068060365912,0.084093986829579
3.09e-06,3.0817029928599e-08,1,3.0826564786629e-08,0.084339629527375,0.084365724397508
3.1e-06,3.0916254359294e-08,1,3.0925850950161e-08,0.08461118560349,0.084637449423211
3.11e-06,3.1015473994177e-08,1,3.1025132516322e-08,0.084882728554489,0.084909161866894
3.12e-06,3.1114688818718e-08,1,3.1124409470574e-08,0.08515425834061,0.085180861688767
3.13e-06,3.1213898818391e-08,1,3.1223681798383e-08,0.0854257749221,0.085452548849052
3.14e-06,3.1313103978675e-08,1,3.1322949485215e-08,0.085697278259213,0.085724223307975
3.15e-06,3.1412304285049e-08,1,3.1422212516542e-08,0.085968768312211,0.085995885025773
3.16e-06,3.1511499722995e-08,1,3.1521470877835e-08,0.086240245041363,0.086267533962687
3.17e-06,3.1610690277999e-08,1,3.1620724554571e-08,0.086511708406946,0.086539170078969
3.18e-06,3.170987593555e-08,1,3.1719973532229e-08,0.086783158369246,0.086810793334877
3.19e-06,3.180905668114e-08,1,3.1819217796289e-08,0.087054594888554,0.087082403690677
3.2e-06,3.1908232500262e-08,1,3.1918457332237e-08,0.087326017925173,0.087354001106642
3.21e-06,3.2007403378413e-08,1,3.201769212556e-08,0.087597427439411,0.087625585543055
3.22e-06,3.2106569301093e-08,1,3.2116922161748e-08,0.087868823391584,0.087897156960204
3.23e-06,3.2205730253806e-08,1,3.2216147426293e-08,0.088140205742016,0.088168715318388
3.24e-06,3.2304886222056e-08,1,3.2315367904691e-08,0.08841157445104,0.08844026057791
3.25e-06,3.2404037191353e-08,1,3.2414583582442e-08,0.088682929478996,0.088711792699084
3.26e-06,3.2503183147209e-08,1,3.2513794445046e-08,0.088954270786233,0.088983311642231
3.27e-06,3.2602324075137e-08,1,3.2613000478009e-08,0.089225598333106,0.089254817367679
3.28e-06,3.2701459960655e-08,1,3.2712201666837e-08,0.08949691207998,0.089526309835765
3.29e-06,3.2800590789283e-08,1,3.281139799704e-08,0.089768211987228,0.089797789006835
3.3e-06,3.2899716546545e-08,1,3.2910589454132e-08,0.090039498015228,0.09006925484124
3.31e-06,3.2998837217968e-08,1,3.300977602363e-08,0.090310770124371,0.090340707299341
3.32e-06,3.3097952789079e-08,1,3.3108957691051e-08,0.090582028275053,0.090612146341507
3.33e-06,3.3197063245412e-08,1,3.3208134441918e-08,0.090853272427677,0.090883571928115
3.34e-06,3.3296168572501e-08,1,3.3307306261757e-08,0.091124502542658,0.091154984019549
3.35e-06,3.3395268755885e-08,1,3.3406473136094e-08,0.091395718580416,0.091426382576203
3.36e-06,3.3494363781105e-08,1,3.3505635050461e-08,0.091666920501381,0.091697767558478
3.37e-06,3.3593453633705e-08,1,3.3604791990391e-08,0.09193810826599,0.091969138926782
3.38e-06,3.3692538299233e-08,1,3.3703943941422e-08,0.092209281834689,0.092240496641533
3.39e-06,3.3791617763238e-08,1,3.3803090889093e-08,0.092480441167931,0.092511840663157
3.4e-06,3.3890692011273e-08,1,3.3902232818947e-08,0.092751586226179,0.092783170952088
3.41e-06,3.3989761028896e-08,1,3.400136971653e-08,0.093022716969905,0.093054487468767
3.42e-06,3.4088824801665e-08,1,3.410050156739e-08,0.093293833359586,0.093325790173646
3.43e-06,3.4187883315143e-08,1,3.419962835708e-08,0.09356493535571,0.093597079027181
3.44e-06,3.4286936554895e-08,1,3.4298750071155e-08,0.093836022918772,0.093868353989842
3.45e-06,3.438598450649e-08,1,3.4397866695172e-08,0.094107096009278,0.094139615022101
